SKU,DESCRIPCION,CANTIDAD,FALTANTE,MODELOS,IMAGEN,UBICADO EN
BC.MA.SS000229.02,FRONT RIGHT AIRCRAFT ARM MODULE,4,,MINI 2,,
BC.MA.SS000286.01,Gimbal and Camera Module,2,,MINI 2,,
YC.JG.HG000007.01,REAR AIRCRAFT ARM ROTATION AXLS,10,,MINI 2,,
BC.MA.PP000895.02,2 IN 1 FPC,2,,MINI 3,,
YC.JG.ZS003207.04,AIRCRAFT LOWER COVER,3,,MINI 3,,
YC.JG.ZS003205.03,AIRCRAFT MIDDLE FRAME,3,,MINI 3,,
BC.MA.SS000564.01,AIRCRAFT UPPER COVER MODULE,3,,MINI 3,,
BC.MA.SS000557.01,FRONT LEFT ARM MODULE,4,,MINI 3,,
BC.MA.SS000559.01,FRONT RIGHT ARM MODULE ,3,,MINI 3,,
BC.MA.SS000551.01,GIMBAL  & CAMERA MODULOE,1,,MINI 3,,
YC.XC.TZ000201.04,GIMBEL COAXIAL CABLE ,4,,MINI 3,,
BC.MA.SS000563.01,GPS & IMU MODULE,2,,MINI 3,,
BC.MA.SS000560.01,PEAR RIGHT ARM MODULE,3,,MINI 3,,
YC.JG.ZS002522.02,PROPELLER CCW,4,,MINI 3,,
YC.JG.ZS002523.03,PROPELLER CW,3,,MINI 3,,
BC.MA.SS000558.01,REAR LEFT ARM MODULE,1,,MINI 3,,
BC.MA.PP000680.07,7 IN 1 FLAT CABLE,2,,MINI 3 PRO,,
YC.JG.ZS002575.06,AIRCRAFT LOWER COVER,3,,MINI 3 PRO,,
BC.MA.SS000490.01,AIRCRAFT LOWER COVER MODULE,3,,MINI 3 PRO,,
YC.JG.ZS002566-06,AIRCRAFT MIDDLE FRAME,3,,MINI 3 PRO,,
BC.MA.SS000473.01,AIRCRAFT UPPER COVER MODULE,3,,MINI 3 PRO,,
YC.JG.MY000796.07,DAMPER (FOUR CLIP,3,,MINI 3 PRO,,
YC.JG.MY000795.07,DAMPER (THREE CILP,3,,MINI 3 PRO,,
BC.MA.PP000672.04,FLEXIBLE FLAT CABLE([ ESC BOARD AND CORE BOARD),2,,MINI 3 PRO,,
YC.JG.HG000023.04,FRONT AIRCRAFT ARM ROTATING AXIS,5,,MINI 3 PRO,,
BC.MA.SS000468.02,FRONT LEFT AIRCRAFT ARM MODULE,3,,MINI 3 PRO,,
BC.MA.SS000470.02,FRONT RIGHT AIRCRAFT ARM MODULE,3,,MINI 3 PRO,,
YC.JGZS002579.05,FRORWARD VISION SENSOR MODULE,3,,MINI 3 PRO,,
BC.MA.SS000474.01.F,GIMBAL AND CAMERA MODULE,1,,MINI 3 PRO,,
YC.XC.TZ000162.07,GIMBAL COAXIAL CABLE,1,,MINI 3 PRO,,
BC.MA.SS000478.01,GIMBAL PITOH AXIS MOTOR MODULE,1,,MINI 3 PRO,,
BC.MA.SS000554.01,GIMBAL ROLL  MOTOR MODULE,1,,MINI 3 PRO,,
73755334790188,GIMBEL FRONT COVER MODULE,2,,MINI 3 PRO,,
YC.JG.ZS002587.05,GIMBEL SIDE COVER (LEFT),3,2,MINI 3 PRO,,
YC.JG.ZS002588.06,GIMBEL SIDE COVER (RIGHT),3,,MINI 3 PRO,,
BC.MA.SS000466.01,GPS & IMU DAMPER,1,,MINI 3 PRO,,
BC.MA.SS000471.02,REAR RIGHT AIRCRAFT ARM MODULE,3,,MINI 3 PRO,,
YC.JG.HG000047.02,AIRCRAFT ARM ROTATING AXIS (REAR LEFT),6,,MINI 4 PRO,,
YC.JG.HG000048.02,AIRCRAFT ARM ROTATING AXIS (REAR RIGHT),6,,MINI 4 PRO,,
YC.JG.ZS003984.03,AIRCRAFT LOWER COVER ,5,,MINI 4 PRO,,
BC.MA.AA001643.01,AIRCRAFT UPPER COVER,5,,MINI 4 PRO,,
YC.DZ.AV000107.03,DONWARD VISION SENSOR MODULE,1,,MINI 4 PRO,,
BC.MA.SS000694.01,ESC BOARD MODULE ,3,,MINI 4 PRO,,
BC.MA.PP001103.03,ESC BOARD- CORE BOARD) FLAT CABLE FLEXIBLE,2,,MINI 4 PRO,,
BC.MA.PP001082.06,FLEXIBLE FLAT CABLE (DONWARD VISIOS SISTEM),2,,MINI 4 PRO,,
BC.MA.PP001101.03,FLEXIBLE FLAT CABLE (FORDWARD & BACKWARD VISION),2,,MINI 4 PRO,,
BC.MA.SS000690.01,FORWARD & BACKWARD VISION SENSOR MODULE,2,,MINI 4 PRO,,
YC.JG.MQ002350.02,FRONT ARMS STICKER,5,,MINI 4 PRO,,
BC.MA.AA001635.01,FRONT LEFT AIRCRAFT ARM MODULE,6,,MINI 4 PRO,,
BC.MA.AA001636.01,FRONT RIGHT AIRCRAFT ARM MODULE,3,,MINI 4 PRO,,
YC.JG.ZS003990.03,GIMBAL  SIDE COVER (LEFT),3,,MINI 4 PRO,,
YC.JG.ZS003991.03,GIMBAL  SIDE COVER (RIGHT),2,,MINI 4 PRO,,
YC.JG.YT000006.05,GIMBAL RUBBER DAMPER (FOUR-CLIP),3,,MINI 4 PRO,,
YC.JG.YT000007.05,GIMBAL RUBBER DAMPER (THREE-CLIP),8,,MINI 4 PRO,,
BC.MA.SS000697.01,GIMBEL AND CAMERA MODULE,1,,MINI 4 PRO,,
YC.XC.TZ000231.04,GIMBEL COAXIAL CABLE ,5,,MINI 4 PRO,,
BC.MA.SS000688.01,GPS & IMU MODULE,2,,MINI 4 PRO,,
YC.JG.ZS003983.02,MIDDLE FRAME,3,,MINI 4 PRO,,
YC.JG.MQ002351.02,REAR  ARMS STICKER,5,,MINI 4 PRO,,
BC.MA.AA001637.01,REAR LEFT AIRCRAFT ARM MODULE,3,,MINI 4 PRO,,
BC.MA.AA001638.01,REAR RIGHT AIRCRAFT ARM MODULE,3,,MINI 4 PRO,,
YC.BZ.JJ000012.01,WATERPROOF LABEL,1,,MINI 4 PRO,,
BC.MA.SS000734.01,FRONT AIRCRAFT ARM MODULE (LEFT),3,,MINI 4K,,
YC.JG.ZS007223.02,PROPELLER SET (CW),4,,MINI 5 PRO,,
YC.JG.ZS007222.02,PROPELLER SET (CWW),4,,MINI 5 PRO,,
YC.JG.ZS001239.03,AIRCRAFT MIDDLE FRAME ,1,,MINI SE,,
